person,cause_short,date,dept_name,state
Deputy Sheriff Duff G. Williams,Gunfire,1869-08-26,Smith County Sheriff's Office, TX
Sheriff Thomas Wilson Napier,Gunfire,1869-09-18,Lincoln County Sheriff's Office, KY
Township Constable William Semans,Gunfire,1869-09-26,Ellsworth Police Department, KS
Deputy Sheriff Edward Faust,Gunfire,1869-10-18,Dewitt County Sheriff's Office, TX
Posseman Henry Gonzalvo Woods,Gunfire,1869-10-18,Dewitt County Sheriff's Office, TX
Deputy Sheriff Lewis C. Story,Gunfire,1869-10-27,Clinton County Sheriff's Department, KY
Police Deputy Ira M. Buchanan,Gunfire,1869-11-13,Junction City Police Department, KS
Deputy Sheriff Nelson Maxey,Gunfire,1869-11-19,Washington County Sheriff's Office, TX
Deputy U.S. Marshal Theodore W. Moses,Gunfire,1869-12-06,United States Department of Justice - United States Marshals Service, US
Police Officer Daniel McMullen,Assault,1869-12-18,Pittsburgh Police Department, PA
Special Constable John B. Drummond,Gunfire,1869-12-24,Brunswick County Constable's Office, VA
Patrolman John D. Sullivan,Gunfire,1869-12-25,Savannah Police Department, GA
Police Officer A. G. Hearn,Stabbed,1870-02-09,Bryan Police Department, TX
Sheriff David William L. Mizell,Gunfire,1870-02-21,Orange County Sheriff's Office, FL
Deputy City Marshal Eli Stallings,Gunfire,1870-03-12,Bastrop Police Department, TX
Special Officer Richard O. Busch,Gunfire,1870-03-20,Richmond Police Department, VA
Sheriff John H. Wisner,Gunfire,1870-03-30,Ouachita Parish Sheriff's Office, LA
Officer William Johnson,Assault,1870-04-12,Jacksonville Police Department, FL
Officer Uriah H. Sears,Stabbed,1870-04-18,Cincinnati Police Department, OH
Undersheriff Henry Bodine,Gunfire,1870-04-20,Labette County Sheriff's Office, KS
Sergeant James T. Cox,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer James M. Carter,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer William R. Cray,Structure collapse,1870-04-27,Richmond Police Department, VA
Deputy U.S. Marshal Thomas P. Foley,Structure collapse,1870-04-27,United States Department of Justice - United States Marshals Service, US
Officer John Kerr,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer Michael McCarthy,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer John R. Meagher,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer James A. Seay,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer Julius Schultz,Structure collapse,1870-04-27,Richmond Police Department, VA
Captain D. G. Tourgee,Structure collapse,1870-04-27,Richmond Police Department, VA
Officer James M. Walker,Structure collapse,1870-04-27,Richmond Police Department, VA
Deputy U.S. Marshal William Rufus Story,Gunfire,1870-05-02,United States Department of Justice - United States Marshals Service, US
Posseman Festus Sprague,Gunfire,1870-05-03,Grantsville Police Department, UT
Sheriff Dennis J. Kelly,Gunfire,1870-06-13,Nueces County Sheriff's Office, TX
Policeman Dennis Sullivan,Assault,1870-06-14,Philadelphia Police Department, PA
Sheriff William M. Thompson,Gunfire,1870-06-14,Washington County Sheriff's Office, TX
Constable Jere McCheane,Stabbed,1870-06-26,Omaha Police Department, NE
Police Officer James Murphy,Assault,1870-07-05,Baltimore City Police Department, MD
Sheriff Gaylord Lyman,Gunfire,1870-07-10,Lucas County Sheriff's Office, IA
Patrolman John Regan,Duty related illness,1870-07-13,Memphis Police Department, TN
Officer William M. Landers,Stabbed,1870-07-30,Kentucky Central Railroad Police Department, RR
Warden William Willard,Stabbed,1870-08-14,Connecticut Department of Correction, CT
Deputy John A. McClain,Gunfire,1870-09-17,Colusa County Sheriff's Department, CA
City Marshal William Warren,Gunfire,1870-10-31,Los Angeles Police Department, CA
City Marshal Thomas J. Smith,Gunfire,1870-11-02,Abilene Police Department, KS
City Marshal Henry C. Seaman,Gunfire,1870-11-07,Baxter Springs Police Department, KS
Private Lorenzo Biediger,Assault,1870-12-06,Texas Rangers, TX
Private Walter Richarz,Assault,1870-12-06,Texas Rangers, TX
Private Joseph R. Riff,Assault,1870-12-06,Texas Rangers, TX
Private Albert M. Swift,Duty related illness,1870-12-27,Texas Rangers, TX
City Marshal Laban John Hoffman,Gunfire,1871-01-06,Waco Police Department, TX
Deputy Sheriff James McMahan,Gunfire,1871-01-16,Dallas County Sheriff's Department, TX
Deputy Sheriff Charles H. Nichols,Gunfire,1871-01-20,Dallas County Sheriff's Department, TX
Private Jim Smalley,Gunfire,1871-01-22,Texas State Police, TX
Deputy Collector Ellis T. Jenkins,Gunfire,1871-02-15,United States Department of the Treasury - Office of Internal Revenue, US
Patrolman Niels L. Hansen,Gunfire (Accidental),1871-02-18,Chicago Police Department, IL
Private General Bell,Gunfire,1871-02-25,Texas State Police, TX
Posseman William Hicks Reeves,Gunfire,1871-03-01,United States Department of Justice - United States Marshals Service, US
Private Robert Steen,Gunfire,1871-04-27,Texas State Police, TX
Sheriff John McIver,Gunfire,1871-05-01,Jackson County Sheriff's Department, TX
Police Officer Joseph Clark,Gunfire,1871-05-22,Baltimore City Police Department, MD
"Police Officer David Wilber, Jr.",Gunfire,1871-07-08,Chelsea Police Department, MA
Special Deputy Constable Jack B. Archer,Gunfire,1871-07-12,Grayson County Constable's Office - Precinct 1, TX
Gauger Clinton Gilbert,Gunfire,1871-07-16,United States Department of the Treasury - Office of Internal Revenue, US
Sheriff Peter R. Lanahan,Gunfire,1871-07-18,Ellis County Sheriff's Office, KS
Constable Jacob H. Baughman,Gunfire,1871-07-21,Greene County Sheriff's Department, MO
Private August Werner,Gunfire,1871-08-14,Texas State Police, TX
Customs Inspector Alden McLaughlin,Gunfire,1871-09-01,United States Department of the Treasury - Customs Service, US
Detective John H. Richards,Gunfire,1871-09-14,Baltimore City Police Department, MD
Sheriff James T. Dana,Assault,1871-09-20,Yuma County Sheriff's Department, AZ
Posse Member Mono Jim,Gunfire,1871-09-23,Mono County Sheriff's Office, CA
Posse Member Robert Morrison,Gunfire,1871-09-23,Mono County Sheriff's Office, CA
Deputy Sheriff Carlos B. King,Gunfire,1871-09-23,Sedgwick County Sheriff's Office, KS
Patrolman Isaac Jones,Assault,1871-09-23,Pittsburgh Police Department, PA
Constable Samuel T. Herrington,Gunfire,1871-10-04,Concord Township Police Department, MO
Special Deputy Marshal Mike Williams,Gunfire (Accidental),1871-10-05,Abilene Police Department, KS
Special Police Officer Green Paramore,Gunfire,1871-10-06,Texas State Police, TX
Prison Guard F. M. Isaacs,Gunfire,1871-10-13,Nevada State Prison, NV
Patrolman John Wilson,Gunfire,1871-11-11,Portsmouth Police Department, VA
Deputized Civilian David W. Harvell,Gunfire,1871-12-14,Nacogdoches County Constable's Office, TX
Policeman Benjamin Cline,Gunfire,1871-12-18,Union City Police Department, TN
Constable John Birdwell,Gunfire,1871-12-19,Nacogdoches County Constable's Office, TX
Constable Moses Ford,Assault,1871-12-23,Independence County Sheriff's Department, AR
Officer Francis M. Doyle,Gunfire,1871-12-29,Metropolitan Police Department, DC
Sheriff Juan C. Tafoya,Gunfire,1872-02-06,Las Animas County Sheriff's Office, CO
Deputy U.S. Marshal John Zeke,Gunfire,1872-02-16,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal William T. Bentz,Gunfire,1872-02-22,United States Department of Justice - United States Marshals Service, US
Police Officer Mansel W. Rasbury,Gunfire,1872-03-07,Atlanta Police Department, GA
Detective Phillip Lambreck,Assault,1872-03-14,New York Metropolitan Police Force, NY
Keeper Samuel Calvert,Stabbed,1872-03-17,New York State Department of Correctional Services, NY
Sheriff James B. Rogers,Gunfire,1872-04-13,Freestone County Sheriff's Office, TX
Special Deputy Marshal William Hicks,Gunfire,1872-04-15,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Sam Beck,Gunfire,1872-04-15,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Blacksut Beck,Gunfire,1872-04-15,United States Department of Justice - United States Marshals Service, US
Posseman George Selvidge,Gunfire,1872-04-15,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Jim Ward,Gunfire,1872-04-15,United States Department of Justice - United States Marshals Service, US
Special Deputy Marshal Riley Woods,Gunfire,1872-04-15,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Jacob G. Owens,Gunfire,1872-04-16,United States Department of Justice - United States Marshals Service, US
Posseman William Beck,Gunfire,1872-04-16,United States Department of Justice - United States Marshals Service, US
Private John Americas Stewart,Gunfire,1872-05-16,Texas State Police, TX
Deputy U.S. Marshal Maddison F. Mitchell,Gunfire,1872-06-18,United States Department of Justice - United States Marshals Service, US
City Marshal C. M. Taylor,Gunfire,1872-06-29,Baxter Springs Police Department, KS
Patrolman John J. Donohue,Assault,1872-07-07,Brooklyn Police Department, NY
Township Constable Charles F. Lehman,Gunfire,1872-07-23,Anaheim Police Department, CA
Patrolman Patrick O'Meara,Gunfire,1872-08-05,Chicago Police Department, IL
Police Officer John Christopher,Gunfire,1872-08-18,Baltimore City Police Department, MD
Policeman Lewis Lare,Gunfire,1872-08-21,Philadelphia Police Department, PA
Deputy Sheriff William N. Wright,Gunfire,1872-10-06,Caddo Parish Sheriff's Office, LA
"Deputy U.S. Marshal Henry Franklin ""Frank"" Griffin",Gunfire,1872-10-06,United States Department of Justice - United States Marshals Service, US
Policeman Daniel McGonigle,Gunfire,1872-10-09,Philadelphia Police Department, PA
Police Officer Franklin Fullum,Duty related illness,1872-11-22,Baltimore City Police Department, MD
Sheriff Daniel Jackson Brownell,Gunfire,1872-11-26,Holmes County Sheriff's Office, FL
Police Officer James T. Harvey,Duty related illness,1873-01-12,Baltimore City Police Department, MD
Deputy Constable John Stark,Gunfire,1873-02-20,Grayson County Constable's Office - Precinct 6, TX
Patrolman James Harris Rosser,Duty related illness,1873-02-26,Shreveport Police Department, LA
Private James M. Daniels,Gunfire,1873-03-14,Texas State Police, TX
Private Wesley Cherry,Gunfire,1873-03-14,Texas State Police, TX
Captain Thomas G. Williams,Gunfire,1873-03-14,Texas State Police, TX
Police Officer John Ferguson,Stabbed,1873-04-06,Galveston Police Department, TX
Private Andrew Melville,Gunfire,1873-04-10,Texas State Police, TX
Deputy Sheriff William Hubbard,Assault,1873-04-28,Aroostook County Sheriff's Department, ME
Deputy Sheriff Granville A. Hayden,Assault,1873-04-28,Aroostook County Sheriff's Department, ME
Deputy U.S. Marshal John C. Stephenson,Stabbed,1873-07-11,United States Department of Justice - United States Marshals Service, US
"Deputy Sheriff Burwell J. ""Burt"" Blankenship",Gunfire,1873-07-24,McLennan County Sheriff's Department, TX
Deputy U.S. Marshal R. T. Dunn,Gunfire,1873-08-08,United States Department of Justice - United States Marshals Service, US
Patrolman Christian Jacobs,Gunfire,1873-08-18,Chicago Police Department, IL
Sheriff Chauncey Belden Whitney,Gunfire,1873-08-18,Ellsworth County Sheriff's Department, KS
Sheriff George Washington Law,Gunfire,1873-08-23,Callaway County Sheriff's Department, MO
Deputy Sheriff W. W. Dundon,Gunfire,1873-09-03,Callaway County Sheriff's Department, MO
Deputy U.S. Marshal Andy Frigate,Gunfire,1873-09-05,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Ora M. Nason,Gunfire (Accidental),1873-09-20,Bent County Sheriff's Office, CO
Police Officer Albert H. Bowen,Gunfire,1873-10-16,Provo Police Department, UT
Deputy U.S. Marshal John P. Fries,Gunfire,1873-10-25,United States Department of Justice - United States Marshals Service, US
Sheriff Simmons D. Alsobrook,Gunfire,1873-11-01,Lauderdale County Sheriff's Office, TN
Special Deputy Marshal Perry DuVal,Gunfire,1873-11-02,United States Department of Justice - United States Marshals Service, US
Constable William Stewart Mettler,Gunfire,1873-11-06,Kern County Sheriff's Department, CA
Town Marshal Enoch Cooksey,Gunfire,1873-11-15,McMinnville Police Department, TN
Deputy Sheriff Henry C. Banks,Gunfire,1873-11-16,Hays County Sheriff's Department, TX
Patrolman Edward L. Burns,Assault,1873-12-02,New York Municipal Police Department, NY
Police Officer John Shannon Day,Gunfire,1874-02-05,Denison Police Department, TX
Deputy Sheriff Edwin P. Daniels,Gunfire,1874-03-17,St. Clair County Sheriff's Department, MO
Undersheriff John J. Ellis,Exposure,1874-03-21,Elko County Sheriff's Office, NV
Policeman J. Peter Mooney,Assault,1874-04-18,Rome Police Department, GA
Keeper Charles Ernst,Assault,1874-05-04,Greene County Sheriff's Office, NY
Custody Officer George Chamberlain,Gunfire,1874-05-11,Indiana Department of Correction, IN
Deputy Sheriff Charles Webb,Gunfire,1874-05-26,Brown County Sheriff's Department, TX
Deputy Sheriff Jabez C. Pierson,Gunfire,1874-06-09,Bosque County Sheriff's Office, TX
Officer Charles F. Schoppe,Gunfire,1874-06-13,Portland Police Bureau, OR
Officer James P. Farmer,Gunfire,1874-06-17,Bryan Police Department, TX
Constable O. A. Wilson,Gunfire,1874-06-27,Osage Township Police Department, MO
Deputy U.S. Marshal James P. Everette,Gunfire,1874-07-10,United States Department of Justice - United States Marshals Service, US
Private David W. H. Bailey,Assault,1874-07-12,Texas Rangers, TX
"Private William A. ""Billy"" Glass",Gunfire,1874-07-12,Texas Rangers, TX
Special Deputy Marshal William Spivey,Gunfire,1874-08-06,United States Department of Justice - United States Marshals Service, US
Officer John G. Duff,Gunfire,1874-08-10,Versailles Police Department, MO
"Deputy Sheriff Richard ""Dick"" Roach",Gunfire,1874-08-22,Hillsborough County Sheriff's Office, FL
Patrolman John A. Weimar,Gunfire,1874-08-24,Pittsburgh Police Department, PA
Substitute Patrolman Abraham Bird,Gunfire,1874-09-02,Cincinnati Police Department, OH
Chief of Police Philip Schuyler Smith,Assault,1874-09-16,Hackettstown Police Department, NJ
Private W. H. Cliff,Drowned,1874-09-23,Texas Rangers, TX
Special Officer William Hogsett,Stabbed,1874-10-03,Oswego Police Department, KS
Deputy Sheriff Robert F. Hagood,Gunfire,1874-10-14,Hunt County Sheriff's Office, TX
Patrolman Thomas Evers,Accidental,1874-11-08,New York Municipal Police Department, NY
Police Officer Charles G. Bratton,Stabbed,1874-11-27,Burlingame Police Department, KS
Deputy Sheriff John Morgan,Gunfire,1874-12-02,Bosque County Sheriff's Office, TX
Deputy Sheriff Parker Morgan,Gunfire,1874-12-02,Bosque County Sheriff's Office, TX
Special Police Officer Mathew Hamilton,Heart attack,1874-12-03,Winona Police Department, MN
"Officer William  ""Will"" Albright",Gunfire,1874-12-04,Paris Police Department, TX
Deputy Sheriff James Robert Godley,Gunfire,1874-12-13,Anderson County Sheriff's Department, TX
Chief of Police Matthew W. Murphy,Gunfire,1874-12-26,Columbus Police Department, GA
Deputy Jimmy Carr,Gunfire,1875-01-15,Scott County Sheriff's Office, MO
Deputy Marshal George Carney,Gunfire,1875-01-20,Bedford Police Department, IN
Deputy Collector Jerome E. Goodner,Gunfire,1875-01-26,United States Department of the Treasury - Office of Internal Revenue, US
Jailer Zack Hall,Gunfire,1875-01-27,Robertson County Sheriff's Department, TX
Officer Cornelius L. Fahey,Gunfire,1875-03-08,Austin Police Department, TX
Deputy Keeper Bartholomew B. Purdy,Heart attack,1875-03-29,New York City Department of Correction, NY
Constable T. C. Craig,Gunfire,1875-04-27,Houston County Constable's Office - Precinct 3, TX
Patrolman Edward Riebsamen,Gunfire,1875-04-29,Wilkes-Barre Police Department, PA
Patrolman Robert T. Frazier,Gunfire,1875-04-30,Nashville City Police Department, TN
Police Officer Charles Patman,Gunfire,1875-05-02,Denison Police Department, TX
Captain Josiah D. Baxter,Gunfire,1875-05-03,Plymouth Police Department, MA
Deputy Sheriff Robert Ned Clendennen,Gunfire,1875-05-21,Limestone County Sheriff's Department, TX
Deputy Collector J. Holman Leatherwood,Gunfire,1875-05-22,United States Department of the Treasury - Office of Internal Revenue, US
Sheriff Alexander Ramsey,Gunfire,1875-06-07,Ellis County Sheriff's Office, KS
Private L. B. Smith,Gunfire,1875-06-12,Texas Rangers, TX
Patrolman John L. Hart,Gunfire,1875-06-13,Shreveport Police Department, LA
Patrolman Jacob Reupp,Gunfire,1875-06-14,Trenton Police Department, NJ
Patrolman John Michael Kick,Gunfire,1875-06-15,Cleveland Police Department, OH
Officer Albert M. Logan,Gunfire,1875-06-28,Ottumwa Police Department, IA
Patrolman Benjamin K. Yost,Gunfire,1875-07-06,Tamaqua Borough Police Department, PA
Deputy Collector Elisha Graham Johnson,Gunfire,1875-07-21,United States Department of the Treasury - Office of Internal Revenue, US
Undersheriff Zach Allen,Gunfire (Accidental),1875-08-09,Rio Grande County Sheriff's Office, CO
Patrolman John Cummings,Assault,1875-09-10,St. Louis Metropolitan Police Department, MO
Sheriff Joseph H. Baker,Gunfire,1875-10-12,Portage County Sheriff's Department, WI
Patrol Officer George M. Crowell,Assault,1875-12-22,Lynn Police Department, MA
City Marshal Thomas H. Chandler,Gunfire,1875-12-27,Lebanon Police Department, KY
Town Constable Charles Kast,Gunfire,1876-02-08,Las Animas Police Department, CO
